Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,Battery_Cell,
C1,CP_EIA-3528-12_Kemet-T,1,100,
DIR1,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,1,IR,
DSTATUS1,LED_D3.0mm,1,STATUS,
"H1, H2, H3, H4",MountingHole_3mm,4,MountingHole,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,3,
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,4,
JP3,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,5,
JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,6,
JP5,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,7,
JP6,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,16,
JP7,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,8,
Q1,CSBF,1,429KHz,
R1,R_1206_3216Metric,1,1k,
R2,R_1206_3216Metric,1,100,
"R3, R4",R_1206_3216Metric,2,1.5,
R5,R_1206_3216Metric,1,6.8k,
SW1,SW_SPST_B3S-1000,1,SW1,
SW10,SW_SPST_B3S-1000,1,SW10,
SW11,SW_SPST_B3S-1000,1,SW11,
SW12,SW_SPST_B3S-1000,1,SW12,
SW2,SW_SPST_B3S-1000,1,SW2,
SW3,SW_SPST_B3S-1000,1,SW3,
SW4,SW_SPST_B3S-1000,1,SW4,
SW5,SW_SPST_B3S-1000,1,SW5,
SW6,SW_SPST_B3S-1000,1,SW6,
SW7,SW_SPST_B3S-1000,1,SW7,
SW8,SW_SPST_B3S-1000,1,SW8,
SW9,SW_SPST_B3S-1000,1,SW9,
TP+1,TestPoint_THTPad_D2.5mm_Drill1.2mm,1,TP+,
TP-1,TestPoint_THTPad_D2.5mm_Drill1.2mm,1,TP-,
U1,SOIC-28W_7.5x17.9mm_P1.27mm,1,SAA3010,
U2,SOT-23,1,BCV27,
