Designator,Mid X,Mid Y,Rotation,Layer
BT1,160.655,-78.74,-90.0,top
C1,125.095,-72.7575,90.0,top
DIR1,107.98,-80.015,90.0,bottom
DSTATUS1,111.506,-80.015,90.0,bottom
Q1,135.2215,-67.183,90.0,top
R1,125.095,-82.55,90.0,top
R2,119.1915,-77.47,0.0,top
R3,119.1915,-80.01,0.0,top
R4,119.1875,-82.55,0.0,top
R5,146.05,-67.183,90.0,top
SW1,127.0,-65.405,-90.0,bottom
SW10,157.48,-65.405,-90.0,bottom
SW11,157.48,-92.075,-90.0,bottom
SW12,157.48,-78.74,-90.0,bottom
SW2,110.49,-65.405,-90.0,bottom
SW3,119.38,-78.74,-90.0,bottom
SW4,127.0,-92.075,-90.0,bottom
SW5,110.49,-92.075,-90.0,bottom
SW6,134.62,-78.74,-90.0,bottom
SW7,146.05,-92.075,90.0,bottom
SW8,146.05,-78.74,-90.0,bottom
SW9,146.05,-65.405,-90.0,bottom
U1,139.7,-78.74,90.0,top
U2,123.825,-77.47,180.0,top
